timestamp,symbol,status,strikes,current_spread,target_spread,percent_diff,dws,depth_1pct_display
2026-02-10 20:51:02,AAVE_USDT,Healthy,0,0.31,0.3,3.33,0.1966,$19.3K
2026-02-10 20:51:06,ADA_USDT,Healthy,0,0.305,0.26,17.31,0.3401,$117.5K
2026-02-10 20:51:09,ALGO_USDT,Healthy,0,2.0166,2.0,0.83,1.4743,$34.5K
2026-02-10 20:51:12,BCH_USDT,Healthy,0,0.28,0.26,7.69,0.243,$42.1K
2026-02-10 20:51:15,BNB_USDT,Healthy,0,0.3,0.3,0.0,0.1715,$40.9K
2026-02-10 20:51:18,BONK_USDT,Healthy,0,2.00556,2.0,0.28,1.1976,$5.6K
2026-02-10 20:51:21,BTC_USDT,Healthy,0,0.2,0.2,0.0,0.1445,$1.00M
2026-02-10 20:51:25,CAKE_USDT,Healthy,0,0.379,0.3,26.33,0.5218,$19.1K
2026-02-10 20:51:28,CFX_USDT,Healthy,0,2.0519,2.0,2.59,1.512,$19.7K
2026-02-10 20:51:31,DASH_USDT,Healthy,0,1.984,2.0,-0.8,1.2485,$17.1K
2026-02-10 20:51:34,DOT_USDT,Healthy,0,0.344,0.26,32.31,0.4754,$30.6K
2026-02-10 20:51:37,DOGE_USDT,Healthy,0,0.29,0.26,11.54,0.2018,$153.7K
2026-02-10 20:51:40,ETH_USDT,Healthy,0,0.244,0.25,-2.4,0.1655,$135.7K
2026-02-10 20:51:43,FARTCOIN_USDT,Healthy,0,1.737,2.0,-13.15,1.4844,$16.2K
2026-02-10 20:51:46,FLOKI_USDT,Healthy,0,0.572,0.5,14.4,0.4515,$20.6K
2026-02-10 20:51:49,HYPE_USDT,Healthy,0,1.983,2.0,-0.85,1.1754,$2.0K
2026-02-10 20:51:52,LINK_USDT,Healthy,0,0.304,0.26,16.92,0.2166,$67.1K
2026-02-10 20:51:55,LSK_USDT,Healthy,0,1.567,1.5,4.47,1.1991,$20.3K
2026-02-10 20:51:58,LTC_USDT,Healthy,0,0.3,0.3,0.0,0.1743,$97.0K
2026-02-10 20:52:01,NEAR_USDT,Healthy,0,1.996,2.0,-0.2,1.1765,$5.2K
2026-02-10 20:52:04,NOS_USDT,Healthy,0,2.0145,2.0,0.72,1.4079,$783
2026-02-10 20:52:08,PEPE_USDT,Healthy,0,0.63,0.5,26.0,0.4362,$26.5K
2026-02-10 20:52:11,POL_USDT,Healthy,0,0.58,0.5,16.0,0.4152,$21.3K
2026-02-10 20:52:14,QDX_USDT,Healthy,0,7.116,10.0,-28.84,8.7168,$739
2026-02-10 20:52:17,RENDER_USDT,Healthy,0,2.0108,2.0,0.54,1.52,$6.6K
2026-02-10 20:52:20,Sonic_USDT,Healthy,0,2.0354,2.0,1.77,1.484,$6.3K
2026-02-10 20:52:24,SHIB_USDT,Healthy,0,0.469,0.4,17.25,0.2989,$22.8K
2026-02-10 20:52:27,SLP_USDT,Healthy,0,2.0285,2.0,1.43,1.4299,$9.4K
2026-02-10 20:52:29,SOL_USDT,Healthy,0,0.238,0.25,-4.8,0.2117,$36.7K
2026-02-10 20:52:32,STRK_USDT,Healthy,0,2.0412,2.0,2.06,1.4323,$1.3K
2026-02-10 20:52:35,SUI_USDT,Healthy,0,2.00348,2.0,0.17,1.1902,$4.4K
2026-02-10 20:52:39,TON_USDT,Healthy,0,0.389,0.3,29.67,0.5425,$13.3K
2026-02-10 20:52:42,TRX_USDT,Healthy,0,0.266,0.3,-11.33,0.1557,$288.2K
2026-02-10 20:52:45,USDC_USDT,Healthy,0,0.0399,0.02,99.5,0.0664,$986.1K
2026-02-10 20:52:48,WIF_USDT,Healthy,0,2.0637,2.0,3.18,1.411,$6.2K
2026-02-10 20:52:51,XLM_USDT,Healthy,0,0.368,0.3,22.67,0.4911,$104.0K
2026-02-10 20:52:54,XRP_USDT,Healthy,0,0.307,0.3,2.33,0.1945,$95.7K
2026-02-10 20:52:57,XYO_USDT,Healthy,0,1.464,1.0,46.4,1.9325,$1.1K
2026-02-10 20:53:00,ZKSync_USDT,Healthy,0,2.0147,2.0,0.73,1.4398,$8.2K
2026-02-10 20:53:03,BTC_NGN,Healthy,0,0.5,0.5,0.0,0.2702,$2361.72M
2026-02-10 20:53:10,USDT_NGN,Warning,4,0.0236,0.52,-95.46,0.0524,$1413.14M
2026-02-10 20:53:13,QDX_NGN,Healthy,0,7.0832,10.0,-29.17,5.5235,$719.6K
2026-02-10 20:53:16,ETH_NGN,Healthy,0,0.5,0.5,0.0,0.2756,$1216.81M
2026-02-10 20:53:19,TRX_NGN,Healthy,0,0.464,0.5,-7.2,0.2687,$416.53M
2026-02-10 20:53:22,XRP_NGN,Healthy,0,0.388,0.5,-22.4,0.2233,$124.03M
2026-02-10 20:53:25,DASH_NGN,Healthy,0,0.501,0.5,0.2,0.288,$43.70M
2026-02-10 20:53:27,LTC_NGN,Healthy,0,0.501,0.5,0.2,0.2788,$266.22M
2026-02-10 20:53:31,SOL_NGN,Warning,1,0.111,0.5,-77.8,0.2857,$59.19M
2026-02-10 20:53:34,USDC_NGN,Warning,1,0.277,0.5,-44.6,0.2821,$2933.87M
